facilityType,seNumber,sectionPiId,standardId,statement,intentTooltip,sortOrder,active
HOSPITAL,1,1.1,1.1.1,"Governance responsibilities and accountabilities are described in legislation, policies and procedures or similar documents that show how these duties are to be carried out.","According to the Oxford Dictionary to govern is ""to conduct the policy, actions and affairs of (a state, organisation or people) with authority."" The same source defines governance as ""the action or manner of governing a state, organisation, etc."" It relates to decisions that define expectations, grant power or verify performance. It consists of either a separate process or part of management or leadership processes.

A governing body is the group of people given the power and authority to govern an organisation. A governing body can take the form of a board, a council, a steering committee or an assembly of elders or traditional owners. The role of a governing body is to plan strategic direction, set the organisation's goals, lead the organisation, make the policies and evaluate and support the management and personnel.

There is a governing body responsible for directing the operation of the health facility which is accountable for providing quality healthcare services to its community or to the population that seeks care. The responsibilities and accountability of this entity are described in a document that identifies how they are to be carried out, and are known to those responsible for management within the health facility. The responsibilities of governing bodies lie primarily in approving plans and documents submitted by the managers of the health facility. Those elements of management requiring approval by governance are documented. The process and practices that will apply will vary significantly given the environment in which they are applied. Governance in the public sector, which includes ministries, boards and similar entities, takes into account, among others, legal and constitutional accountability and responsibilities.

It is important that the organisation has clear leadership, operates efficiently and provides quality healthcare services. The lines of communication to achieve this are presented in an organisational chart or other document. The identification of individuals in a single organisational chart does not by itself ensure good communication and cooperation between those who govern and those who manage the organisation. This is particularly true when the governance structure is separate from the organisation, such as a distant owner or national or regional health authority. The process for communication and cooperation with the governance structure must therefore be made known to the organisation's managers and be used by them. The hospital board's relationship with the governance structure and the hospital management are described in written documents.",1,TRUE
HOSPITAL,1,1.2,1.2.1,A senior manager is responsible for operating the organization within applicable laws and regulations.,"The senior manager is appointed by the governing body to be responsible for the overall day-to-day operation of the organisation. These responsibilities are documented and known to the personnel of the organisation. The individual appointed to carry out these functions has the education and experience to do so.

The senior manager is responsible for the implementation of all policies, which have been approved by the governing body.",1,TRUE
HOSPITAL,1,1.2,1.2.2,"Standard A senior manager implements processes to manage and control the organisation.
Criterion Comments
Recommendations",,2,TRUE
HOSPITAL,1,1.2,1.2.3,Standard The organisation's clinical and managerial leaders are identified and are collectively responsible for defining the organisation's mission and creating the plans and policies needed to fulfil the mission.,"An organisation's mission statement usually reflects the needs of its patient population, and patient care services are designed and planned to respond to those needs.Similarly, referral and specialty hospitals derive their mission from the needs of patients within larger geographic or political areas. 

While managers are appointed to posts and have a leadership role, leaders of an organisation may arise from many sources. These leaders may represent every service in the organisation, e.g. medical, nursing, maintenance, administration, physiotherapy and radiography. Leaders may also be nominated or elected to certain committees such as health and safety committees and infection control. Effective leadership is essential for a healthcare organisation to be able to operate efficiently and fulfil its mission. Leadership is given to the organisation by individuals working together and separately and can be provided by any number of individuals. 

Leaders may have formal titles or are recognised for their seniority, stature or contribution to the organisation. It is important that all the leaders of an organisation are recognised and brought into the process of defining the organisation's mission.

Patient care services are planned and designed to respond to the needs of the patient population. The leaders of the various clinical departments and services in the organisation determine what diagnostic, therapeutic, rehabilitative and other services are essential to the community, and their scope and intensity. In private healthcare organisations those persons who have an interest or a share in the service will need to be consulted during the planning processes.",3,TRUE
HOSPITAL,1,1.2,1.2.4,"Standard The organisation communicates with its community to facilitate access to
information about its patient care services.","Healthcare organisations define their communities and patient populations and
information systems ensure on-going communication with those key groups.  The
communication may be directly to individuals or through public media and through agencies
within the community or third parties.",4,TRUE
HOSPITAL,1,1.2,1.2.5,"Standard The organisation provides patient care within business, financial, ethical and legal
norms.","The organisation has established and implemented a framework for ethical
management that includes marketing, admissions, treatment, transfers and discharges, and
disclosure of ownership and any business and professional conflicts that may not be in the
patients' best interests.

A healthcare organisation has ethical and legal responsibilities to the patients and
community it serves. The leaders understand those responsibilities as they apply to the
business and clinical activities of the organisation. The leaders create guiding documents,
such as the organisation's mission, to provide a consistent framework to carry out those
responsibilities.  The organisation operates within this framework to:
•       disclose ownership and any conflicts of interest
•       honestly portray its services to patients
•       provide clear guidelines for the levels of care and services offered
•       withholding of resuscitation or life sustaining measures
•       accurately bill for its services,  and
•       resolve conflicts when financial incentives and payment arrangements could
compromise patient care.

When the organisation conducts clinical research, investigations or trials that involve
patients, a committee or other mechanism to control all such activities in the organisation is
established. The organisation develops a statement of purpose for these activities which
includes the review process for all research protocols, a process to weigh the relative risks
and benefits to the patients and processes related to the confidentiality and security of the
research information.",5,TRUE
HOSPITAL,1,1.2,1.2.6,"Standard The organisation's leaders ensure that policies and procedures are implemented to
support the activities of the organisation and to guide the staff, patients and visitors.","Policies and procedures are formulated at different levels of authority, e.g.
national Acts and regulations, national health and labour departmental policies, and
organisational policies.

Leaders must ensure that all policies which apply to the organisation are available to the
personnel and that they are implemented and monitored as they relate to various
departments, services and functions.

Leaders should ensure that policies and procedures are available to guide the personnel in
such matters as allocation, use and care of resources, financial practices, human resource
management and dealing with complaints from patients and visitors.",6,TRUE
HOSPITAL,1,1.2,1.2.7,"Standard The leaders direct the development and monitor the implementation of
contracts/agreements for clinical or managerial services.","Organisations frequently have the option to provide clinical and managerial
services directly, or to arrange for such services through referral, consultation, contractual
arrangements or other agreements.  Such services may include, for example, radiology
services, financial accounting services, equipment management, hotel services, etc.

In all cases, the leaders supervise such written contracts/agreements to ensure that the
services meet patient needs and are monitored as part of the organisation's quality
management and improvement activities.

Where volunteer services are provided, it is managed to provide a safe and effective service
and is coordinated with other services within the organization.",7,TRUE
HOSPITAL,1,1.2,1.2.8,"Standard The organisation's leaders foster communication between individuals and
coordinate services among departments.","To coordinate and integrate patient care, the leaders develop a culture that
emphasises cooperation and communication.  The leaders develop formal methods (e.g.
standing committees, joint teams) and informal methods (e.g. newsletter, posters) for
promoting communication among services and individual staff members.

Coordination of services comes from an understanding of the mission and services of each
department and service and collaboration in the development of common policies and
procedures.

Leaders have a special responsibility to patients and to the organisation. These leaders:
•       support good communication
•       jointly plan and develop policies that guide the delivery of services and
•       monitor the quality of service delivery.

The leaders of all services create a suitable, effective organisational structure to carry out
those responsibilities. The structure chosen can be highly organised with rules and
regulations. In general, the structure(s) chosen is (are):
•       inclusive of all relevant personnel
•       consistent with the ownership, mission and structure of the organisation
•       appropriate for the complexity of the organisation,  and
•       effective in carrying out the responsibilities listed above.",8,TRUE
HOSPITAL,1,1.3,1.3.1,"Standard Identified departmental or service managers control clinical and managerial
activities in each department or service.","The clinical care, patient outcomes and overall management of a healthcare
organisation are only as good as the clinical and managerial activities of each individual
department or service.

Good departmental or service performance requires clear leadership from a qualified
individual. The qualifications of departmental managers should be appropriate to the
department,  i.e. suitable paediatric, ICU, operating theatre or information technology
qualifications, as applicable. In large departments or services, clinical and administrative
leadership may be separate.  In such a case, the responsibilities of each role are defined in
writing.

Documents prepared by each department define its goals, identify current and planned
services and establish the knowledge, skills and availability of the personnel required to
assess and meet patient care needs. The leaders of each department or service make their
human resources and other resource requirements known to the organisation's senior
managers.  This helps ensure that adequate staff, space, equipment and other resources
are available to meet patient needs at all times. The organisation's management provides
departmental and service managers with data and information needed to manage and
improve care and service. Patient care is not provided when special resources are not
available.

Clinical services provided are coordinated and integrated within each department or service.
For example, there is integration of medical and nursing services.  Also, each department or
service works to coordinate and integrate its services with other departments and services.
The management of the organisation's organisational chart guides departmental/service
staff in adhering to correct lines of communication. Each department or service documents
the lines of communication within that department or service. Unnecessary duplication of
services is avoided or eliminated to conserve resources.",1,TRUE
